"","zone","forcasttime","forcastcount"
"449","Brooklyn Heights-Cobble Hill",2014-07-01 17:00:00,5
"450","Brooklyn Heights-Cobble Hill",2014-07-01 18:00:00,6
"451","Brooklyn Heights-Cobble Hill",2014-07-01 19:00:00,5
"452","Brooklyn Heights-Cobble Hill",2014-07-01 20:00:00,6
"453","Brooklyn Heights-Cobble Hill",2014-07-01 21:00:00,7
"454","Brooklyn Heights-Cobble Hill",2014-07-01 22:00:00,7
"455","Brooklyn Heights-Cobble Hill",2014-07-01 23:00:00,5
"456","Brooklyn Heights-Cobble Hill",2014-07-01 02:00:00,5
"457","Brownsville",2014-07-01 00:00:00,2
"458","Brownsville",2014-07-01 01:00:00,2
"459","Brownsville",2014-07-01 03:00:00,2
"460","Brownsville",2014-07-01 04:00:00,2
"461","Brownsville",2014-07-01 05:00:00,2
"462","Brownsville",2014-07-01 06:00:00,2
"463","Brownsville",2014-07-01 07:00:00,2
"464","Brownsville",2014-07-01 08:00:00,2
"465","Brownsville",2014-07-01 09:00:00,2
"466","Brownsville",2014-07-01 10:00:00,2
"467","Brownsville",2014-07-01 11:00:00,2
"468","Brownsville",2014-07-01 12:00:00,2
"469","Brownsville",2014-07-01 13:00:00,2
"470","Brownsville",2014-07-01 14:00:00,2
"471","Brownsville",2014-07-01 15:00:00,2
"472","Brownsville",2014-07-01 16:00:00,2
"473","Brownsville",2014-07-01 17:00:00,2
"474","Brownsville",2014-07-01 18:00:00,2
"475","Brownsville",2014-07-01 19:00:00,2
"476","Brownsville",2014-07-01 20:00:00,2
"477","Brownsville",2014-07-01 21:00:00,2
"478","Brownsville",2014-07-01 22:00:00,2
"479","Brownsville",2014-07-01 23:00:00,2
"480","Brownsville",2014-07-01 02:00:00,2
"481","Bushwick North",2014-07-01 00:00:00,4
"482","Bushwick North",2014-07-01 01:00:00,3
"483","Bushwick North",2014-07-01 03:00:00,3
"484","Bushwick North",2014-07-01 04:00:00,3
